Categoría,Fecha,Hora,Estudiante,Precio (gramo),Precio (onza),Dirección,Coordenadas,Plus Code,Razon no captura de datos,Categorías/Observaciones
Joyería,05/03/19,10:00,Laura y Paulo,150000,1500000,Cll 12b #6 09 ,"4.599401, -74.073492",HWXG+QJ Bogotá,No le quisieron dar el precio,
Joyería,05/03/19,10:00,Laura y Paulo,3600000,3600000,Cll 12b # 6 17,"4.599421, -74.073536",HWXG+QH Bogotá,,
Joyería,05/03/19,10:00,Laura y Paulo,2378000,2378000,Cll 12b # 6 29 ,"4.599464, -74.073616",,,
Joyería,05/03/19,10:00,Laura y Paulo,3969000,3969000,Cll 12b # 6 28,"4.599634, -74.073710",HWXG+VF Bogotá,,
Joyería,05/03/19,10:00,Laura y Paulo,80000,2268000,Cll 12b # 6 31,"4.599689, -74.074050",HWXG+QF Bogotá,,
Joyería,05/03/19,10:00,Laura y Paulo,76000,2154600,Cll 12b #6 35,"4.599755, -74.074076",,,
Joyería,05/03/19,10:00,Laura y Paulo,120000,3402000,Cll 12b # 6 68,"4.599962, -74.074253",,,
Joyería,05/03/19,10:00,Laura y Paulo,120000,3402000,Cll 12b # 6 76,"4.599914, -74.074158",,,
Joyería,05/03/19,10:00,Laura y Paulo,130000,3685500,Cll 12 b # 6 75,"4.599862, -74.074240",,,
Joyería,05/03/19,10:00,Laura y Paulo,115000,3260250,Cll 12b # 6 81,"4.599880, -74.074290",,,
Joyería,05/03/19,10:00,Laura y Paulo,130000,3685500,Cll 12b # 6 41 ,"4.599631, -74.073970",HWXG+RF Bogotá,,
Joyería,05/03/19,10:00,Laura y Paulo,,,Cll 12b # 6 35,"4.599631, -74.073970",,No tiene el producto,
Joyería,05/03/19,10:00,Laura y Paulo,135000,3827250,Kr. 6ta # 12 97,"4.599369, -74.073497",,,
Joyería,05/03/19,10:00,Laura y Paulo,130000,3685500,Kr. 6ta # 12 93,"4.599316, -74.073548",HWXG+QJ Bogotá,,
Joyería,05/03/19,10:00,Laura y Paulo,140000,3969000,Kr. 6ta # 12 91,"4.599265, -74.073567",,,
Joyería,05/03/19,10:00,Laura y Paulo,150000,4252500,Kr. 6ta # 12 85,"4.599177, -74.073637",,,
Joyería,05/03/19,10:00,Laura y Paulo,,,Kr. 6ta # 12 77,"4.599110, -74.073691",HWXG+MG Bogotá,No tiene el producto,
Joyería,05/03/19,10:00,Laura y Paulo,125000,3543750,Kr. 6ta # 12 65,"4.599001, -74.073766",,,
Joyería,05/03/19,10:00,Laura y Paulo,160000,4536000,Kr. 6ta # 12 63,"4.598883, -74.073836",,,
Joyería,05/03/19,10:00,Laura y Paulo,140000,3969000,Kr. 6ta # 12 49,"4.598880, -74.073855",,,
Joyería,05/03/19,10:00,Laura y Paulo,160000,4536000,Kr. 6ta # 12 43,"4.598853, -74.073879",,,
Joyería,05/03/19,11:00,Laura y Paulo,130000,3685500,Kr. 6ta # 12 41,"4.598856, -74.073863",,,
Joyería,05/03/19,11:00,Laura y Paulo,125000,3543750,Kr. 6ta # 12 33,"4.598843, -74.073882",,,
Joyería,05/03/19,11:00,Laura y Paulo,125000,3543750,Kr. 6ta # 12 31,"4.598814, -74.073882",HWXG+HF Bogotá,,
Joyería,05/03/19,11:00,Laura y Paulo,120000,3402000,Kr. 6ta # 12 27,"4.598736, -74.073922",,,
Joyería,05/03/19,11:00,Laura y Paulo,,,Kr. 6ta # 12 19,"4.598755, -74.073911",,No tiene el producto,
Joyería,05/03/19,11:00,Laura y Paulo,130000,3685500,Kr. 6ta # 12 15,"4.598707, -74.073922",,,
Joyería,05/03/19,11:00,Laura y Paulo,125000,3543750,Kr. 6ta # 12 11,"4.598688, -74.073933",,,
Joyería,05/03/19,11:00,Laura y Paulo,,,Kr. 6ta # 12 09,"4.598675, -74.073946",,No tiene el producto,
Joyería,05/03/19,11:00,Laura y Paulo,145000,4110750,Kr. 6ta # 12 03,"4.598683, -74.07395",,,
Joyería,05/03/19,11:00,Laura y Paulo,140000,3969000,Kr. 6ta # 12 04,"4.598615, -74.073881",,No había nadie atendiendo,
Joyería,05/03/19,11:00,Laura y Paulo,125000,3543750,Kr. 6ta # 12 06,"4.598615, -74.073881",,,
Joyería,05/03/19,11:00,Laura y Paulo,145000,4110750,Kr. 6ta # 12 14,"4.598710, -74.073806",,,
Joyería,05/03/19,11:00,Laura y Paulo,120000,3402000,Kr. 6ta # 12 16,"4.598742, -74.073787",,,
Joyería,05/03/19,11:00,Laura y Paulo,135000,3827250,Kr. 6ta # 12 18,"4.598786, -74.073762",,,
Joyería,05/03/19,11:00,Laura y Paulo,145000,4110750,Kr. 6ta # 12 22,"4.598818, -74.073736",,,
Joyería,05/03/19,11:00,Laura y Paulo,125000,3543750,Kr. 6ta # 12 24,"4.598856, -74.073710",,,
Joyería,05/03/19,11:00,Laura y Paulo,130000,3685500,Kr. 6ta # 12 36,"4.598926, -74.073644",,,
Joyería,05/03/19,11:00,Laura y Paulo,115000,3260250,Kr. 6ta # 12 60,"4.599047, -74.073585",,,
Joyería,05/03/19,11:00,Laura y Paulo,70000,1984500,Kr. 6ta # 12 60,"4.599047, -74.073585",,,
Joyería,05/03/19,11:00,Laura y Paulo,125000,3543750,Kr. 6ta # 12 70,"4.599105, -74.073538",,,
Joyería,05/03/19,11:00,Laura y Paulo,125000,3543750,Kr. 6ta # 12 82,"4.599148, -74.073515",,,
Joyería,05/03/19,11:00,Laura y Paulo,130000,3685500,Kr. 6ta # 12 82,"4.599148, -74.073515",,,
Joyería,05/03/19,11:00,Laura y Paulo,145000,4110750,Kr. 6ta # 12 84,"4.599131, -74.073506",,,
Joyería,05/03/19,11:00,Laura y Paulo,,,Kr. 6ta # 12 86,"4.599194, -74.073502",,No tiene el producto,
Joyería,05/03/19,11:00,Laura y Paulo,116000,3288600,Kr. 6ta # 12 92,"4.599276, -74.073449",,,
Joyería,05/03/19,11:00,Laura y Paulo,125000,3543750,Cll. 12b # 5 95,"4.599286, -74.073354",HWXG+PM Bogotá,,
Joyería,05/03/19,11:00,Laura y Paulo,125000,3543750,Cll. 12b # 5 97,"4.599234, -74.073274",,No tiene el producto,
Joyería,05/03/19,11:00,Laura y Paulo,,,Cll. 12b # 5 95,"4.599146, -74.073169",,Se acabó el producto,
Joyería,05/03/19,11:00,Laura y Paulo,125000,3543750,Cll. 12 # 5 81,"4.598381, -74.073637",,,
Joyería,05/03/19,11:00,Laura y Paulo,120000,3402000,Cll. 12 # 5 85,"4.598410, -74.073688",HWXG+9G Bogotá,,
Joyería,05/03/19,11:00,Laura y Paulo,125000,3543750,Cll. 12 # 5 93,"4.598436, -74.073788",,,
Joyería,05/03/19,11:00,Laura y Paulo,130000,3685500,Cll. 12 # 5 95,"4.598484, -74.073810",,,
Joyería,05/03/19,11:00,Laura y Paulo,130000,3685500,Cll. 12 # 5 97,"4.598497, -74.073872",,,
Joyería,05/03/19,11:00,Laura y Paulo,,,Cll. 12 # 5 99,"4.598524, -74.073899",,No tiene el producto,
Joyería,05/03/19,11:00,Laura y Paulo,193000,5471550,Cll. 12 # 5 92 ,"4.598529, -74.073745",,,
Joyería,05/03/19,11:00,Laura y Paulo,125000,3543750,Cll. 12 # 5 96,"4.598577, -74.073777",,,
Joyería,05/03/19,11:00,Laura y Paulo,86000,2438100,Cll. 12 # 6 73,"4.599130, -74.074841",,,
Joyería,05/03/19,11:00,Laura y Paulo,72000,2041200,Cll. 12 # 6 69,"4.599050, -74.074785",,,
Joyería,05/03/19,11:00,Laura y Paulo,130000,3685500,Cll. 12 # 6 65,"4.599015, -74.074680",,,
Joyería,05/03/19,11:00,Laura y Paulo,140000,3969000,Cll. 12 # 6 61,"4.598981, -74.074631",,,
Joyería,05/03/19,5:00,Laura y Paulo,140000,3969000,Cll. 12 # 6 55 ,"4.598945, -74.074596",,,
Joyería,05/03/19,5:00,Laura y Paulo,130000,3685500,Cll. 12 # 6 45,"4.598904, -74.074538",,,
Joyería,05/03/19,5:00,Laura y Paulo,130000,3685500,Cll. 12 # 6 15,"4.598759, -74.074276",,,
Joyería,05/03/19,5:00,Laura y Paulo,140000,3969000,Cll. 12 # 6 11,"4.598671, -74.074137",,,
Joyería,05/03/19,5:00,Laura y Paulo,140000,3969000,Cll. 12 # 6 03,"4.598615, -74.074026",,,
Joyería,05/03/19,5:00,Laura y Paulo,130000,3685500,Cll. 12 # 5 97,"4.598551, -74.073893",,,
Joyería,05/03/19,5:00,Laura y Paulo,135000,3827250,Cll. 12 # 5 95,"4.598518, -74.073867",,,
Joyería,05/03/19,5:00,Laura y Paulo,145000,4110750,Cll. 12 # 5 93,"4.598475, -74.073818",,,
Joyería,05/03/19,5:00,Laura y Paulo,125000,3543750,Cll. 12 # 5 91,"4.598427, -74.073759",,,
Joyería,05/03/19,5:00,Laura y Paulo,130000,3685500,Cll. 12 # 5 89,"4.598438, -74.073780",,,
Joyería,05/03/19,5:00,Laura y Paulo,150000,4252500,Cll. 12 # 5 87,"4.598397, -74.073740",,,
Joyería,05/03/19,5:00,Laura y Paulo,145000,4110750,Cll. 12 # 5 85,"4.598421, -74.073725",,,
