Categoría;Fecha;Hora;Estudiante;Precio;Dirección;Plus Code;Razon no captura de datos;Categorías/Observaciones;;
Arepas;28/02/2019;1:10;Camila Beltrán;2000;Cra 7 #12b-42;67P7JW2G+49;;arepa de huevo;;
Arepas;28/02/2019;1:15;Camila Beltrán;2000;Calle 12 Bis #6-87;67P7HWXG+M5;;arepa de carna desmechada;;
Arepas;28/02/2019;1:18;Camila Beltrán;2200;Cra 7 #11-86;67P7HWXG+H2;;arepa de maiz;;
Arepas;28/02/2019;1:20;Camila Beltrán;3000;Calle 11 #6-04;67P7HWXG+46;;arepa de queso;;
Arepas;28/02/2019;1:25;Camila Beltrán;3500;Calle 11#6-50;67P7HWXG+63;;arepa de maiz pelado;;
Arepas;28/02/2019;1:28;Camila Beltrán;3500;Cra 6 #11;67P7HWXG+47;;arepa con queso;;
Arepas;28/02/2019;1:32;Camila Beltrán;4000;Cra 6 #11-46;67P7HWXG+69;;arepa blanca;;
Arepas;28/02/2019;1:35;Camila Beltrán;1000;Calle 12 #6-26;67P7HWXG+67;;arepa boyacense ;;
Arepas;28/02/2019;1:40;Camila Beltrán;1500;Calle 12 #6-30;67P7HWXG+G8;;arepa de huevo   ;;
Arepas;28/02/2019;1:40;Camila Beltrán;2500;Calle 12 #6-30;67P7HWXG+G8;;arepa de chocolo ;;
Arepas;28/02/2019;2:00;Camila Beltrán ;1400;Calle 12 #6-23;67P7HWXG+F8;;arepa boyacense ;;
Arepas;28/02/2019;2:15;Camila Beltrán ;2000;Calle 12 #6-35;67P7HWXG+F8;;arepa de queso;;
Arepas;1/03/2019;9:05;Camila Beltrán ;1500;Calle 12 #5-38;67P7HWXG+8J;;arepa de queso;;
Arepas;1/03/2019;9:10;Camila Beltrán ;1800;Calle 12 #5-45;67P7HWXG+8M;;arepa de queso ;;
Arepas;1/03/2019;9:15;Camila Beltrán ;1900;Calle 12 #5-69;67P7HWXG+9J;;arepa de queso;;
Arepas;1/03/2019;9:25;Camila Beltrán ;1500;Calle 12 #5-19;67P7HWXG+6M;;arepa blanca ;;
