Categor’a;Fecha;Hora;Estudiante;Precio;Direcci—n;Plus Code;Razon no captura de datos;Categor’as/Observaciones
Cafeter’a;25:35:39;15h-17h;Diego Defont;2200;carr 7 # 12C-31;JW2G+FG Bogota, Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Diego Defont;800;carr 7 #12B-55;JW2G+69 Bogota, Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Diego Defont;2300;carr 7 #12B-39;JW2G+48 Bogota, Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Diego Defont;3300;carr 7 #12A-36;HWXG+W6 Bogota, Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Diego Defont;2000;carr 7 #12-29;HWXG+P3 Bogota, Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Diego Defont;3500;carr 6 #11;HWXG+79 Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Diego Defont;3850;carr 6 #11-20;HWXG+46 Bogota, Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Diego Defont;3000;carr 6 #11-46;HWXG+79 Bogota, Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Diego Defont;4500;carr 6 #12-32;HWXG+HF Bogota, Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Diego Defont;700;carr 6 #12-59;HWXG+JH Bogota, Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Diego Defont;1500;carr 5 #12B-36;HWXH+M3 Bogota, Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Diego Defont;1000;carr 5 #12-16;HWXG+7Q Bogota, Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Diego Defont;1900;carr 5 #12-08;HWXG+5R Bogota, Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Diego Defont;700;carr 5 #11-59;HWXG+3M Bogota, Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Diego Defont;2000;carr 4 #4-14;HWXH+JG Bogota, Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Diego Defont;2200;carr 4 #12-16;HWXH+25 Bogota, Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Diego Defont;2600;carr 4 #12-40;HWXH+36 Bogota, Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Diego Defont;1800;carr 4 #12-74;HWXH+67 Bogota, Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Diego Defont;2500;carr 4 #12B-27;HWXH+C9 Bogota, Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Diego Defont;1000;carr 4 #12B-71;HWXH+HG Bogota, Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Diego Defont;3100;carr 4 #12C-88;HWXH+XR Bogota, Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Diego Defont;3500;calle 12C-13-15;HWXJ+R2 Bogota, Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Diego Defont;3800;carr 3 # 12B-60;HWXH+7R Bogota, Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;1000;Calle 20 #6-35;JW4H+9J Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;1100;Calle 20 #6-33;JW4H+8J Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;1000;Calle 20 #5-78;JW4J+33 Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;1300;Carrera 5 # 19-74;JW4J+22 Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;1000;Calle 20 # 4-84;JW4J+34 Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;700;Calle 20 #3-64;JW3J+PM Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;800;Calle 20# 3-18;JW3J+MR Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;700;Calle 21 #3-39;JW3J+XV Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;700;Carrera 4 #20-81;JW4J+3M Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;700;Calle 21 #4-85;JW4J+97 Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;700;Calle 21 #4-97;JW4J+C6 Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;800;Carrera 4 #20-52;JW4J+74 Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;600;Calle 25#5-02;JW4J+F5 Bogot‡;;No se vend’a dentro del establecimiento sino que era una mujer que estaba al frente
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;1900;Callle 21 #6-17;JW4H+HW Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;700;Calle 21 #6-57;JW4H+PP Bogot‡;;No me dieron el nombre del establecimiento
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;800;Calle 21 #6-57;JW4H+PM Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;3000;Calle 21 #6-65;JW4H+PP Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;800;Carrera 7 #21-20;JW4H+VJ Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;1500;Carrera 7 #21-96;JW5H+5P Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;1000;Esquina Kr7 con calle 22;JW5H+5P Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;1600;Calle 22 #6-40;JW5H+6R Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;2100;Calle 22 #5-84;JW4J+X2 Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;800;Carrera 5 #21-88;JW4J+Q8 Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;1500;Calle 23 #4-63;JW5J+2V Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;2800;Calle 22 #3-30;JW4M+C3 Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;2500;Calle 23 #3b-38;JW4M+R5 Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;1000;Calle 23 #3b-42;JW4M+V4 Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;1500;Calle 23 #4-42;JW4J+XW Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;900;Carrera 4A #23-23;JW5J+4V Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;1300;Calle 23 #4A-08;JW5J+2R Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;2500;Calle 23 #4A-67;JW5J+4J Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;1500;Calle 23 #05-07;JW5J+6F Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;700;Calle 23 #5-35;JW5J+7C Bogot‡;;(Tostao)
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;1000;Calle 23 #5-85;JW5J+96 Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;800;Carrera 7 #23-30;JW5H+PV Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;1000;Carrera 7 #23-56;JW5H+WX Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;800;Calle 24 #6-51;JW5J+R6 Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;4500;Calle 24 #6-01;JW5J+Q8 Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;3500;Calle 24#15-51;JW5J+M9 Bogot‡;;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;;Calle 24 #5-51;JW5J+JG Bogot‡;Establecimiento cerrado;
Cafeter’a;25:35:39;15h-17h;Luis Fernando Le—n;1100;Carrera 4 #23-25;JW4M+X4 Bogot‡;;
Cafeter’a;9/02/2019;12:23am;Juan Camilo Cobos;4100;Cra.7 #19-48;JW4H+7F Bogot‡;;
Cafeter’a;9/02/2019;12:26am;Juan Camilo Cobos;1100;Cll 20 #6-33;JW4H+8M Bogot‡;;
Cafeter’a;9/02/2019;12:27am;Juan Camilo Cobos;1000;cll 20 #05-06;JW4J+42 Bogot‡;;
Cafeter’a;9/02/2019;12:29am;Juan Camilo Cobos;1000;cra. 5 #19-38;JW3H+WX Bogot‡;;
Cafeter’a;9/02/2019;12:30am;Juan Camilo Cobos;;cll 20 #04-84;JW3J+WF Bogot‡;cerrado;
Cafeter’a;9/02/2019;12:35am;Juan Camilo Cobos;1500;cra 4 #19-16;67P7JW3J+ Bogot‡;;
Cafeter’a;9/02/2019;12:35am;Juan Camilo Cobos;1100;cra 4 #19-58;JW3J+JG Bogot‡;;
Cafeter’a;9/02/2019;12:36am;Juan Camilo Cobos;800;cll 20 #3-89;JW3J+QJ Bogot‡;;
Cafeter’a;9/02/2019;12:39am;Juan Camilo Cobos;700;cll 20 #3-64;JW3J+PM Bogot‡;;
Cafeter’a;9/02/2019;12:41am;Juan Camilo Cobos;800;cll 20 #3-18;JW3J+JR Bogot‡;;
Cafeter’a;9/02/2019;12:43am;Juan Camilo Cobos;;cll 19 #03-16;JW3J+JR Bogot‡;cerrado;
Cafeter’a;9/02/2019;12:46am;Juan Camilo Cobos;2000;cll 19 #4-02;JW3J+QH Bogot‡;;
Cafeter’a;9/02/2019;12:49am;Juan Camilo Cobos;600;cll 19 #4-06;JW3J+RH Bogot‡;;puesto ambulante
Cafeter’a;9/02/2019;12:52am;Juan Camilo Cobos;2000;cll 19 #4-20;JW3J+VG Bogot‡;;
Cafeter’a;9/02/2019;12:53am;Juan Camilo Cobos;900;cll 19 #4-24;JW3J+WF Bogot‡;;
Cafeter’a;9/02/2019;12:53am;Juan Camilo Cobos;2000;cll 19 #4-42;JW3J+H6 Bogot‡;;
Cafeter’a;9/02/2019;12:55am;Juan Camilo Cobos;4500;cll 19 #5-02;JW3H+XQ Bogot‡;;
Cafeter’a;9/02/2019;12:57am;Juan Camilo Cobos;;cll 19 #5-70;JW3H+XM Bogot‡;cerrado;
Cafeter’a;9/02/2019;12:59am;Juan Camilo Cobos;1500;cll 19 #6-48;JW4H+4H Bogot‡;;
Cafeter’a;9/02/2019;12:59am;Juan Camilo Cobos;2000;cll 19 #6-54;JW4H+4H Bogot‡;;
Cafeter’a;9/02/2019;1:01pm;Juan Camilo Cobos;2100;cll 19 #6-68;JW4H+5C Bogot‡;;
Cafeter’a;9/02/2019;1:04pm;Juan Camilo Cobos;2000;cll 19 #6-11;JW3H+XM Bogot‡;;
Cafeter’a;9/02/2019;1:08pm;Juan Camilo Cobos;1700;Cra. 5 #18-83;JW3H+MW Bogot‡;;
Cafeter’a;9/02/2019;1:09pm;Juan Camilo Cobos;1100;Cra. 5 #18-83;JW3H+MW Bogot‡;;
Cafeter’a;9/02/2019;1:12pm;Juan Camilo Cobos;1500;Cra. 5 #18-40;JW3H+GR Bogot‡;;
Cafeter’a;9/02/2019;1:15pm;Juan Camilo Cobos;1400;cll 19 #4-81;JW3J+P2 Bogot‡;;
Cafeter’a;9/02/2019;1:15pm;Juan Camilo Cobos;2000;cll 19 #4-71;JW3J+F3 Bogot‡;;
Cafeter’a;9/02/2019;1:17pm;Juan Camilo Cobos;3300;cll 19 #4-71;JW3J+F3 Bogot‡;;
Cafeter’a;9/02/2019;1:17pm;Juan Camilo Cobos;1500;cra 4 #18-52;JW3J+6F Bogot‡;;
Cafeter’a;9/02/2019;1:18pm;Juan Camilo Cobos;;Cl. 19 #3A-37;JW3J+7G Bogot‡;cerrado;
Cafeter’a;9/02/2019;1:18pm;Juan Camilo Cobos;;Cl. 19 #3A-37;JW3J+7G Bogot‡;cerrado;
Cafeter’a;9/02/2019;1:20pm;Juan Camilo Cobos;2500;cll 19 #3a-21;JW3J+6M Bogot‡;;
Cafeter’a;9/02/2019;1:23pm;Juan Camilo Cobos;800;cll 19 #3a-17;JW3J+6J6 Bogot‡;;puesto ambulante
Cafeter’a;9/02/2019;1:25pm;Juan Camilo Cobos;1600;Cl. 19 #3A-15;JW3J+6J3 Bogot‡;;
Cafeter’a;9/02/2019;1:26pm;Juan Camilo Cobos;1700;Cl 19 #3-03;JW3J+5J Bogot‡;;
Cafeter’a;9/02/2019;1:26pm;Juan Camilo Cobos;1500;Cl. 18 #3-01;JW2J+WG Bogot‡;;
Cafeter’a;9/02/2019;1:27pm;Juan Camilo Cobos;2300;Cl. 18 #4-10;JW3J+36 Bogot‡;;
Cafeter’a;9/02/2019;1:29pm;Juan Camilo Cobos;3000;cr 5 #18-02;JW3H+9P Bogot‡;;
Cafeter’a;9/02/2019;1:30pm;Juan Camilo Cobos;3900;cll 18 #5-56;JW3H+JJ Bogot‡;;
Cafeter’a;9/02/2019;1:32pm;Juan Camilo Cobos;900;cll 18 #5-65;JW3H+FG Bogot‡;;puesto ambulante
Cafeter’a;9/02/2019;1:32pm;Juan Camilo Cobos;4200;cll 18 #6-27;JW3H+J9 Bogot‡;;
Cafeter’a;9/02/2019;1:34pm;Juan Camilo Cobos;2000;cll 18 #6-31;JW3H+M85 Bogot‡;;
Cafeter’a;9/02/2019;1:36pm;Juan Camilo Cobos;1200;cll 18 #6-39;JW3H+M8 Bogot‡;;
Cafeter’a;9/02/2019;1:37pm;Juan Camilo Cobos;2400;Cra. 7 #17-98;JW3H+P6 Bogot‡;;
Cafeter’a;9/02/2019;1:39pm;Juan Camilo Cobos;1500;Cra. 7 #17-84;JW3H+G3 Bogot‡;;
Cafeter’a;9/02/2019;1:49pm;Juan Camilo Cobos;1800;Cra. 7 #No. 17-22;JW3H+F4 Bogot‡;;
Cafeter’a;9/02/2019;1:40pm;Juan Camilo Cobos;2200;Cra. 7 #No. 17-10;JW3H+C4 Bogot‡;;
Cafeter’a;9/02/2019;1:40pm;Juan Camilo Cobos;1000;Cl. 17 #5-95;JW3H+68 Bogot‡;;puesto ambulante
Cafeter’a;9/02/2019;1:41pm;Juan Camilo Cobos;1300;Cl. 17 #5-93;JW2H+XM Bogot‡;;
Cafeter’a;9/02/2019;1:43pm;Juan Camilo Cobos;;Cl. 17 #4-2;JW2J+Q27 Bogot‡;due–o del lugar se nego a decir precios;
Cafeter’a;9/02/2019;1:43pm;Juan Camilo Cobos;1000;cll 17 #4-57;JW2H+RV Bogot‡;;
Cafeter’a;9/02/2019;1:46pm;Juan Camilo Cobos;1200;Cl. 17 #4-2;JW2J+P4 Bogot‡;;
Cafeter’a;9/02/2019;1:51pm;Juan Camilo Cobos;3000;Cra. 4 #16-1;JW2H+CX Bogot‡;;
Cafeter’a;9/02/2019;2:00pm;Juan Camilo Cobos;2600;Cra. 4 #16-17;JW2H+CX Bogot‡;;
Cafeter’a;16/02/2019;1:20pm;Juan Camilo Cobos;1500;Cra. 6 #14-62;JW2G+6W Bogot‡;;
Cafeter’a;16/02/2019;1:23pm;Juan Camilo Cobos;1200;Cl. 13 #5-75;JW2H+83 Bogot‡;;
Cafeter’a;16/02/2019;1:32pm;Juan Camilo Cobos;2000;Cra. 5 #5-57;JW2H+75 Bogot‡;;
Cafeter’a;16/02/2019;1:34 p. m.;Juan Camilo Cobos;900;cra. 13 #5-93;JW2H+77 Bogot‡;;puesto ambulante
Cafeter’a;16/02/2019;1:38pm;Juan Camilo Cobos;1200;Cl. 15 #4-68;JW2H+7F Bogot‡;;
Cafeter’a;16/02/2019;1:42pm;Juan Camilo Cobos;;Av. Jimenez #4 - 26;JW2H+CH Bogot‡;cerrado;
Cafeter’a;16/02/2019;1:46pm;Juan Camilo Cobos;1800;Cl. 16 #4-92;JW2H+MF Bogot‡;;
Cafeter’a;16/02/2019;1:49pm;Juan Camilo Cobos;2200;Cl. 16 #5-30;JW2H+Q8 Bogot‡;;
Cafeter’a;16/02/2019;1:53pm;Juan Camilo Cobos;1000;Cl. 16 #6-2;JW2H+V4 Bogot‡;;puesto ambulante
Cafeter’a;16/02/2019;1:55pm;Juan Camilo Cobos;1500;Cra. 5 #16-27;JW2H+RF Bogot‡;;
