Categoría;Fecha;Hora;Estudiante;Precio;Dirección;Plus Code;Razon no captura de datos;Categorías/Observaciones;Pcode
Papelería;27/02/2019;10:21:00 a m;Sebastian Velez;40;Calle 11 #3-97;67P7HWWG+JW ;;;67P7HWWG+JW 
Papelería;27/02/2019;10:21:00 a m;Alejandro Preciado;50;Calle 11 #3-99;67P7HWWG+JW ;;;67P7HWWG+JW 
Papelería;27/02/2019;10:40:00 a m;Juan Flechas;100;Calle 12 #6-23;67P7HWXG+F8 ;;;67P7HWXG+F8 
Papelería;27/02/2019;10:47:00 a m;Juan Flechas;100;Cra 5B #11-83;67P7HWXG+4P ;;;67P7HWXG+4P 
Papelería;27/02/2019;10:47:00 a m;Sebastian Velez;50;Calle 12 #4 - 96;67P7HWXG+5R ;;;67P7HWXG+5R 
Papelería;27/02/2019;10:47:00 a m;Alejandro Preciado;50;Calle 12 #4 - 90;67P7HWXG+5R ;;;67P7HWXG+5R 
Papelería;27/02/2019;10:49:00 a m;Sebastian Velez;100;Cra 4 #12 10;67P7HWXH+24 ;;;67P7HWXH+24 
Papelería;27/02/2019;11:05:00 a m;Alejandro Preciado;50;Calle 12b #4 50;67P7HWXH+C4 ;;;67P7HWXH+C4 
Papelería;27/02/2019;11:06:00 a m;Alejandro Preciado;50;Calle 12b #4 92;67P7HWXH+G22 ;;;67P7HWXH+G22 
Papelería;27/02/2019;11:07:00 a m;Alejandro Preciado;100;Calle 12b #4 94;67P7HWXH+G2 ;;;67P7HWXH+G2 
Papelería;27/02/2019;11:07:00 a m;Sebastian Velez;100;Cra 4 #12 54;67P7HWXH+57 ;;;67P7HWXH+57 
Papelería;27/02/2019;11:07:00 a m;Sebastian Velez;100;Cra 5#12-28;67P7HWXG+8R5 ;;;67P7HWXG+8R5 
Papelería;27/02/2019;11:07:00 a m;Sebastian Velez;40;Cra 5#12-44;67P7HWXG+9V4 ;;;67P7HWXG+9V4 
Papelería;27/02/2019;11:07:00 a m;Sebastian Velez;40;Cra 5#12-48;67P7HWXG+9V8 ;;;67P7HWXG+9V8 
Papelería;27/02/2019;11:08:00 a m;Sebastian Velez;100;Cra 5#12-57;67P7HWXG+9VX ;;;67P7HWXG+9VX 
Papelería;27/02/2019;11:08:00 a m;Sebastian Velez;40;Cra 5#12-73;67P7HWXG+CWC ;;;67P7HWXG+CWC 
Papelería;27/02/2019;11:14:00 a m;Juan Flechas;100;Calle 12b #5 13;67P7HWXG+HVG ;;;67P7HWXG+HVG 
Papelería;27/02/2019;11:21:00 a m;Alejandro Preciado;100;Calle 12 Bis #6-57;67P7HWXG+G6W;;;67P7HWXG+G6W
Papelería;27/02/2019;11:21:00 a m;Juan Flechas;100;Calle 12b #7 20;67P7JW2G+349 ;;;67P7JW2G+349 
Papelería;27/02/2019;11:29:00 a m;Sebastian Velez;100;Calle 12b #7 57;67P7JW2G+42Q;;;67P7JW2G+42Q
Papelería;27/02/2019;11:31:00 a m;Sebastian Velez;200;Calle 12b #7 84;67P7JW2F+5X9;;;67P7JW2F+5X9
Papelería;27/02/2019;11:31:00 a m;Juan Flechas;100;Calle 12c #7 27;67P7JW2G+9CM;;;67P7JW2G+9CM
Papelería;27/02/2019;3:46:00 p m;Sebastian Velez;50;Calle 12c #5-50;67P7JW2G+2X;;;67P7JW2G+2X
Papelería;27/02/2019;3:50:00 p m;Sebastian Velez;100;Cra 4 #12c-75;67P7JW2H+2Q;;;67P7JW2H+2Q
Papelería;27/02/2019;4:05:00 p m;Sebastian Velez;;Cra 3 # 3-85;67P7JW2H+6XH;No había nadie atendiendo;;67P7JW2H+6XH
Papelería;27/02/2019;4:09:00 p m;Sebastian Velez;;Calle 13#4-26;67P7JW2H+FP;No había nadie atendiendo;;67P7JW2H+FP
Papelería;27/02/2019;4:10:00 p m;Sebastian Velez;200;Calle 15#4-76;67P7JW2H+7F;;;67P7JW2H+7F
Papelería;27/02/2019;4:11:00 p m;Sebastian Velez;200;Av Jimenez De Quesada #5-93;67P7JW2G+8X;;;67P7JW2G+8X
Papelería;27/02/2019;4:26:00 p m;Sebastian Velez;100;Cra 4 #17-11;67P7JW2J+Q5;;;67P7JW2J+Q5
Papelería;27/02/2019;4:26:00 p m;Sebastian Velez;100;Cra 4 #17-37;67P7JW2J+R5;;;67P7JW2J+R5
Papelería;27/02/2019;4:27:00 p m;Sebastian Velez;100;Cra 4 #17-39;67P7JW2J+R5;;;67P7JW2J+R5
Papelería;27/02/2019;4:30:00 p m;Sebastian Velez;100;Calle 18 # 4-56;67P7JW3J+53;;;67P7JW3J+53
Papelería;27/02/2019;4:31:00 p m;Sebastian Velez;200;Calle 18 # 4-74;67P7JW3J+F3;;;67P7JW3J+F3
Papelería;27/02/2019;4:33:00 p m;Sebastian Velez;100;Cra 5 #17-37;67P7JW3H+6M;;Fotocopia papel reciclado, normal;67P7JW3H+6M
Papelería;27/02/2019;3:48:00 p m;Alejandro Preciado;50;Cra 6 #13-98;67P7JW2H+H29;;;67P7JW2H+H29
Papelería;27/02/2019;3:55:00 p m;Alejandro Preciado;50;Cra 4 #12b-71;67P7HWXH+GF7;;;67P7HWXH+GF7
Papelería;27/02/2019;3:56:00 p m;Alejandro Preciado;100;Cra 4 #12b-63;67P7HWXH+GF3;;;67P7HWXH+GF3
Papelería;27/02/2019;4:13:00 p m;Alejandro Preciado;100;Cra 5 #15-11;67P7JW2H+96Q;;;67P7JW2H+96Q
Papelería;27/02/2019;4:17:00 p m;Alejandro Preciado;100;Cra 6 #14-98;67P7JW2G+GX;;L 107;67P7JW2G+GX
Papelería;27/02/2019;4:18:00 p m;Alejandro Preciado;100;Cra 6 #14-98;67P7JW2G+GX;;L 108;67P7JW2G+GX
