Categoría,Fecha,Hora,Estudiante,Precio,Dirección,Plus code,Razón no captura de datos,Categorias/observaciones,Promedio,mediana,moda,desviación estandar,valor máximo,valor mínimo,Número de datos,nombre del estudiante sin tilde,categoria sin tilde,direccion sin tilde
Arepa,15/02/2019,12:12,Daniela,3000,calle 24#5-63 Recolecta café,67p7jw2h+x6,,arepa de maíz con semillas de chía,2673.28244,2000,2000,2035.448332,16000,800,131,Daniela,arepa de maiz con semillas de chia,calle 24#5-63 Recolecta cafe
Arepa,15/02/2019,12:15,Andrés,1800,Sandwich y café,67p7jw2h+6c,,arepa de maíz pelado pequeña,,,,,,,,Andres,arepa de maiz pelado pequeña,Sandwich y cafe
Arepa,15/02/2019,12:15,Daniela,2300,calle23# 5-07,67p7jw5h+6c,,arepade maíz pelado grande,,,,,,,,Daniela,arepade maiz pelado grande,calle23# 5-07
Arepa,15/02/2019,12:18,Andrés,4000,calle 23 #5-10,67p7jw5h+7c,,arepa de choclo en forma crepe,,,,,,,,Andres,arepa de choclo en forma crepe,calle 23 #5-10
Arepa,15/02/2019,12:21,Daniela,1000,calle23#5-81,67p7jw5h+7c,,arepa de maíz,,,,,,,,Daniela,arepa de maiz,calle23#5-81
Arepa,15/02/2019,12:25,Andrés,1500,carrera7#23-30,67pfjw5h+8m,,arepa de maíz con queso,,,,,,,,Andres,arepa de maiz con queso,carrera7#23-30
Arepa,15/02/2019,12:30,Daniela,2000,carrera7#22,67p7jw5j+f3,,arepa boyacense,,,,,,,,Daniela,arepa boyacense,carrera7#22
Arepa,15/02/2019,12:33,Andrés,2700,calle22#45-07 Shelena,67p7jw5j+f4,,arepa de huevo,,,,,,,,Andres,arepa de huevo,calle22#45-07 Shelena
Arepa,15/02/2019,12:33,Daniela,3300,calle22#45-07 Shelena,67p7jw5j+f5,,arepa mixta,,,,,,,,Daniela,arepa mixta,calle22#45-07 Shelena
Arepa,15/02/2019,12:41,Andrés,1300,carrera 7#23-41,67p7jw5j+5w,,arepa boyacense,,,,,,,,Andres,arepa boyacense,carrera 7#23-41
Arepa,15/02/2019,12:48,Daniela,2700,calle23#3b-42,67p7jw4m+w3,,arepa con jamón y queso,,,,,,,,Daniela,arepa con jamon y queso,calle23#3b-42
Arepa,15/02/2019,12:48,Andrés,3700,calle23#3b-42,67p7jw4m+w3,,arepa pollo y queso,,,,,,,,Andres,arepa pollo y queso,calle23#3b-42
Arepa,15/02/2019,12:50,Daniela,2000,carrera4#23-25,67p7jw5j+4x,,arepa de maíz con queso,,,,,,,,Daniela,arepa de maiz con queso,carrera4#23-25
Arepa,15/02/2019,12:55,Andrés,3700,calle23#4-54,67p7jw5j+2r,,arepa de jamón y queso,,,,,,,,Andres,arepa de jamon y queso,calle23#4-54
Arepa,15/02/2019,12:55,Daniela,5000,calle23#4-54,67p7jw5j+2r,,arepa de pollo y queso,,,,,,,,Daniela,arepa de pollo y queso,calle23#4-54
Arepa,15/02/2019,12:55,Andrés,5000,calle23#4-54,67p7jw5j+2r,,arepa de carne y queso,,,,,,,,Andres,arepa de carne y queso,calle23#4-54
Arepa,15/02/2019,13:04,Daniela,4500,calle22#4-63,67p7jw4j+mh,,arepa de maíz,,,,,,,,Daniela,arepa de maiz,calle22#4-63
Arepa,15/02/2019,13:13,Andrés,2500,calle21#4-03,67p7jw4j+8q,,arepa de carne y huevo,,,,,,,,Andres,arepa de carne y huevo,calle21#4-03
Arepa,15/02/2019,13:16,Daniela,1200,calle 21#3-45 café universidades,67p7wj3j+xw,,arepa boyacense,,,,,,,,Daniela,arepa boyacense,calle 21#3-45 cafe universidades
Arepa,15/02/2019,13:19,Andrés,2000,puesto informal,67p7jw4j+65,,arepa con queso,,,,,,,,Andres,arepa con queso,puesto informal
Arepa,15/02/2019,13:27,Daniela,4500,calle20#5-78,67p7jw4h+4x,,arepa mixta,,,,,,,,Daniela,arepa mixta,calle20#5-78
Arepa,15/02/2019,13:29,Andrés,2000,carrera 5#20-26,67p7jw4j+74,,arepa con queso,,,,,,,,Andres,arepa con queso,carrera 5#20-26
Arepa,15/02/2019,13:30,Daniela,2000,carrera 5#20-71 L-8,67p7jw45+85,,arepa con queso y bocadillo,,,,,,,,Daniela,arepa con queso y bocadillo,carrera 5#20-71 L-8
Arepa,15/02/2019,13:30,Andrés,2500,carrera 5#20-71 L-8,67p7jw45+85,,arepa de huevo con carne,,,,,,,,Andres,arepa de huevo con carne,carrera 5#20-71 L-8
Arepa,15/02/2019,13:34,Daniela,1500,calle 21#5-96,67p7jw4j+mv,,arepa de maíz peto,,,,,,,,Daniela,arepa de maiz peto,calle 21#5-96
Arepa,15/02/2019,13:34,Andrés,2000,calle 21#5-96,67p7jw4j+mv,,arepa de huevo,,,,,,,,Andres,arepa de huevo,calle 21#5-96
Arepa,15/02/2019,13:36,Daniela,2300,calle 21#6-47,67p7jw4j+g3,,arepa de huevo,,,,,,,,Daniela,arepa de huevo,calle 21#6-47
Arepa,15/02/2019,13:38,Andrés,2200,calle 21#6-57,67p7jw4h+mj,,arepa de huevo,,,,,,,,Andres,arepa de huevo,calle 21#6-57
Arepa,15/02/2019,13:40,Daniela,2000,carrera 7 #21-20,67p7jw4h+rj,,arepe de huevo,,,,,,,,Daniela,arepe de huevo,carrera 7 #21-20
Arepa,15/02/2019,13:47,Andrés,2000,carrera 7#21-96,67p7jw5h+4m,,arepa de queso,,,,,,,,Andres,arepa de queso,carrera 7#21-96
Arepa,15/02/2019,13:47,Daniela,2000,carrera 7#21-96,67p7jw5h+4m,,arepa de queso y carne,,,,,,,,Daniela,arepa de queso y carne,carrera 7#21-96
Arepa,15/02/2019,13:47,Andrés,2000,carrera 7#21-96,67p7jw5h+4m,,carepa de queso y pollo,,,,,,,,Andres,carepa de queso y pollo,carrera 7#21-96
