cat,date,time,estudent,price,address,pluscode,city,long_code,lat_long,gen,dum_gen,mov,dum_mov,Categorías/Observaciones
Minutos,27/02/2019,12:05:00,Juan Carlos González,"200,00",,JW2G+GJ,Bogotá,67P7JW2G+GJ,"4.6013125,-74.0734375",M,1,M,0,
Minutos,27/02/2019,12:10:00,Juan Carlos González,"200,00",,JW2H+C3,Bogotá,67P7JW2H+C3,"4.6010625,-74.0723125",M,1,F,1,
Minutos,27/02/2019,12:12:00,Juan Carlos González,"200,00",,JW2H+C3,Bogotá,67P7JW2H+C3,"4.6010625,-74.0723125",M,1,F,1,
Minutos,27/02/2019,12:15:00,Juan Carlos González,"200,00",,JW2H+95,Bogotá,67P7JW2H+95,"4.6009375,-74.0720625",M,1,M,0,
Minutos,27/02/2019,12:33:00,Juan Carlos González,"200,00",,JW2J+63,Bogotá,67P7JW2J+63,"4.6005625,-74.0698125",H,0,F,1,
Minutos,27/02/2019,12:50:00,Juan Carlos González,"200,00",,JW2H+79,Bogotá,67P7JW2H+79,"4.6006875,-74.0715625",H,0,F,1,
Minutos,27/02/2019,12:54:00,Juan Carlos González,"200,00",,JW2H+96,Bogotá,67P7JW2H+96,"4.6009375,-74.0719375",H,0,M,0,
Minutos,27/02/2019,12:56:00,Juan Carlos González,"200,00",,JW2H+C2,Bogotá,67P7JW2H+C2,"4.6010625,-74.0724375",H,0,M,0,
Minutos,27/02/2019,12:57:00,Juan Carlos González,"200,00",,JW2H+F2,Bogotá,67P7JW2H+F2,"4.6011875,-74.0724375",H,0,M,0,
Minutos,27/02/2019,12:59:00,Juan Carlos González,"200,00",,JW2G+HM,Bogotá,67P7JW2G+HM,"4.6014375,-74.0733125",M,1,M,0,
Minutos,27/02/2019,1:01:00,Juan Carlos González,"200,00",,JW2G+RR,Bogotá,67P7JW2G+RR,"4.6020625,-74.0729375",M,1,F,1,
Minutos,27/02/2019,1:02:00,Juan Carlos González,"150,00",,JW2G+XW,Bogotá,67P7JW2G+XW,"4.6024375,-74.0726875",H,0,M,0,
Minutos,27/02/2019,1:05:00,Juan Carlos González,"100,00",,JW2G+XX,Bogotá,67P7JW2G+XX,"4.6024375,-74.0725625",M,1,F,1,
Minutos,27/02/2019,1:10:00,Juan Carlos González,"100,00",,JW2H+Q8,Bogotá,67P7JW2H+Q8,"4.6019375,-74.0716875",M,1,M,0,
Minutos,27/02/2019,1:14:00,Juan Carlos González,"200,00",,JW2H+CX,Bogotá,67P7JW2H+CX,"4.6010625,-74.0700625",H,0,M,0,
Minutos,27/02/2019,1:16:00,Juan Carlos González,"200,00",,JW2J+97,Bogotá,67P7JW2J+97,"4.6009375,-74.0693125",M,1,F,1,
Minutos,27/02/2019,1:18:00,Juan Carlos González,"200,00",,JW3J+2M,Bogotá,67P7JW3J+2M,"4.6025625,-74.0683125",M,1,F,1,
Minutos,27/02/2019,1:20:00,Juan Carlos González,"200,00",,JW2J+WG,Bogotá,67P7JW2J+WG,"4.6023125,-74.0686875",M,1,M,0,
Minutos,27/02/2019,1:23:00,Juan Carlos González,"200,00",,JW3J+5J,Bogotá,67P7JW3J+5J,"4.6029375,-74.0684375",M,1,M,0,
Minutos,27/02/2019,1:34:00,Juan Carlos González,"200,00",,JW2J+V6,Bogotá,67P7JW2J+V6,"4.6021875,-74.0694375",H,0,F,1,
