Categoría,Fecha,Hora,Estudiante,Precio,Precio Color,Dummie  Precio a Color 1 ,Dummie Precio a Color mayor al promedio 1,Dirección,Plus Code,Coordenadas(Latitud - longitud),Razon no captura de datos,Categorías/Observaciones,Media Precio Color
Papelería,04/03/2019,9:19 a. m.,Oscar Fernandez,100,,0,#NAME?,"Cra. 7 #9-99 a 9-49, Bogotá",67P7HWWF+WJ,"4.5973125,-74.0759375",Se acabó el producto,"copia blanco y negro, drogueria ","777,6923077"
Papelería,04/03/2019,9:25,Oscar Fernandez,100,300,1,0,"Cra. 7 #12-32 a 12-58, Bogotá",67P7HWXG+Q5,"4.5994375,-74.0745625",,2 piso/ claro,
Papelería,04/03/2019,9:28,Oscar Fernandez,100,,0,#NAME?,"Cra. 7 #12b-99 a 12b-1, Bogotá",67P7JW2G+59,"4.6004375,-74.0740625",Se acabó el producto,tienda de celulares ,
Papelería,04/03/2019,9:31,Oscar Fernandez,100,,0,#NAME?,"Cl. 14 #5233, Bogotá",67P7JW2G+FF,"4.6011875,-74.0738125",Se acabó el producto,sotano ,
Papelería,04/03/2019,9:40,Oscar Fernandez,100,500,1,0,"Cra. 8 ## 18 - 51, Bogotá",67P7JW4G+5V,"4.6054375,-74.0728125",,escondido al lado de un claro. telefonia y tecnologia ,
Papelería,04/03/2019,9:50,Oscar Fernandez,100,700,1,0,"Cra. 5 #20-99 a 20-1, Bogotá",67P7JW4J+93,"4.6059375,-74.0698125",,papeleria,
Papelería,04/03/2019,9:54,Oscar Fernandez,100,700,1,0,"Cra. 7 ##22-42, Bogotá, Cundinamarca",67P7JW5H+9R,"4.6084375,-74.0704375",,telepapeleria- copia lado y lado ,
Papelería,04/03/2019,9:57,Oscar Fernandez,100,1000,1,1,"Cra. 7 #22-86, Bogotá",67P7JW5H+GV,"4.6088125,-74.0703125",,,
Papelería,04/03/2019,10:03,Oscar Fernandez,,,#NAME?,#NAME?,"Cra. 7 #23-4 a 23-98, Bogotá",67P7JW5H+VW,"4.6096875,-74.0701875",No había nadie atendiendo,cerrado,
Papelería,04/03/2019,10:03,Oscar Fernandez,,,#NAME?,#NAME?,"Cra. 7 #23-4 a 23-98, Bogotá",67P7JW5H+VW,"4.6096875,-74.0701875",No había nadie atendiendo,cerrado,
Papelería,04/03/2019,10:10,Oscar Fernandez,100,800,1,1,"Cra. 5 #23-2 a 23-58, Bogotá",67P7JW5J+8H,"4.6083125,-74.0685625",,,
Papelería,04/03/2019,10:13,Oscar Fernandez,100,400,1,0,"Cra. 5 #23-2 a 23-58, Bogotá",67P7JW5J+7H,"4.6081875,-74.0685625",,,
Papelería,04/03/2019,10:14,Oscar Fernandez,,,#NAME?,#NAME?,"Cl. 23 #5-35, Bogotá",67P7JW5J+79,"4.6081875,-74.0690625",No había nadie atendiendo,cerrado,
Papelería,04/03/2019,10:15,Oscar Fernandez,50,300,1,0,"Cra. 5 #22-99 a 22-1, Bogotá",67P7JW5J+4G,"4.6078125,-74.0686875",,,
Papelería,04/03/2019,10:19,Oscar Fernandez,200,500,1,0,"Cra. 5 #22-99 a 22, 1, Bogotá",67P7JW5J+49,"4.6078125,-74.0690625",,,
Papelería,04/03/2019,10:21,Oscar Fernandez,100,,0,#NAME?,"Cra. 5 #22-99 a 22-1, Bogotá",67P7JW5J+3C,"4.6076875,-74.0689375",Se acabó el producto,,
Papelería,04/03/2019,10:23,Oscar Fernandez,40,1000,1,1,"Cra. 5 #22 - 37, Bogotá",67P7JW4J+W8,"4.6073125,-74.0691875",,,
Papelería,04/03/2019,10:24,Oscar Fernandez,100,1000,1,1,"Cl. 22 #5-43 a 5-1, Bogotá",67P7JW4J+V7,"4.6071875,-74.0693125",,,
Papelería,04/03/2019,10:27,Oscar Fernandez,100,800,1,1,"#4- a 4-, Cl. 22 #8398, Bogotá",67P7JW4J+RC,"4.6070625,-74.0689375",,,
Papelería,04/03/2019,10:27,Oscar Fernandez,50,,0,#NAME?,"Cl. 22 #4-81, Bogotá",67P7JW4J+MF,"4.6066875,-74.0688125",Se acabó el producto,,
Papelería,04/03/2019,10:30,Oscar Fernandez,40,800,1,1,"Cra. 4 #2261, Bogotá, Soacha, Cundinamarca",67P7JW4J+Q7,"4.6069375,-74.0693125",,,
Papelería,04/03/2019,10:32,Oscar Fernandez,200,600,1,0,"Cl. 21 #5-2 a 5-46, Bogotá",67P7JW4J+C4,"4.6060625,-74.0696875",,,
Papelería,04/03/2019,10:34,Oscar Fernandez,100,1000,1,1,"Bosque Izquierdo, Bogotá",67P7JW4J+J9,"4.6065625,-74.0690625",,,
Papelería,04/03/2019,10:36,Oscar Fernandez,100,500,1,0,"Cl. 21 #5-2 a 5-46, Bogotá",67P7JW4J+C4,"4.6060625,-74.0696875",,,
Papelería,04/03/2019,10:38,Oscar Fernandez,200,300,1,0,"Cra. 5 #20-99 a 20-1, Bogotá",67P7JW4J+84,"4.6058125,-74.0696875",,,
Papelería,04/03/2019,10:40,Oscar Fernandez,50,500,1,0,"Cl. 21 #5-2 a 5-46, Bogotá",67P7JW4J+C3,"4.6060625,-74.0698125",,,
