Categoría;Fecha;Hora;Estudiante;Precio sin shampoo;Precio con shampoo;Dirección;Plus Code;Razon no captura de datos;Categorías/Observaciones
Peluquería;01/03/2019                  ;12:41;Paola Cohecha;10000;15000;Calle 12 # 3-90;HWXH+27;;
Peluquería;01/03/2019                  ;12:47;Paola Cohecha;8000;10000;Calle 12 # 4-84;HWXG+5V;;
Peluquería;01/03/2019                  ;12:56;Paola Cohecha;13000;15000;Carrera 7 # 11-72 Local 213;HWXG+ H2 ;;
Peluquería;01/03/2019                  ;12:58;Paola Cohecha;12000;15000;Carrera 7# 11-72 Local 219;HWXG+ H2;;
Peluquería;01/03/2019                  ;13:00;Paola Cohecha;18000;20000;Carrera 7 # 11-72 Local 227;HWXG+ H2 ;;
Peluquería;01/03/2019                  ;13:10;Paola Cohecha;25000;35000;Calle 12 # 6–83;HWXG+J4;;
Peluquería;01/03/2019                  ;13:28;Paola Cohecha;9000;10000;Calle 12B # 3-95;HWXH+79  ;;
Peluquería;01/03/2019                  ;13:39;Paola Cohecha;12000;14000;Carrera 5 bis # 12c -12;JW2H+42;;
Peluquería;01/03/2019                  ;13:40;Paola Cohecha;12000;13000;Carrera 5bis # 14-24 ;JW2H+42 ;;
Peluquería;01/03/2019                  ;13:41;Paola Cohecha;14000;16000;Carrera 5bis # 12c -36;JW2H+53 ;;
Peluquería;01/03/2019                  ;13:42;Paola Cohecha;12000;14000;Carrera 5bis # 12c-40;JW2H+53;;
Peluquería;04/03/2019                  ;14:54;Paola Cohecha;19000;20000;Carrera 7 # 12b-27 local 104;JW2G+39 ;;
Peluquería;04/03/2019                  ;14:56;Paola Cohecha;12000;14000;Carrera 7 # 12b-27 Local 103;JW2G+39 ;;
Peluquería;04/03/2019                  ;14:58;Paola Cohecha;12000;14000;Carrera 7 # 12b-27 Local 102;JW2G+39;;
Peluquería;04/03/2019                  ;15:15;Paola Cohecha;10000;12000;Calle 18 # 6-43;JW2G+39;;
Peluquería;04/03/2019                  ;15:20;Paola Cohecha;24000;25000;Calle 18 # 5-67;JW3H+GH;;
Peluquería;04/03/2019                  ;15:32;Paola Cohecha;12000;13000;Calle 5 bi s# 12c -71;JW2H+64 ;;
Peluquería;04/03/2019                  ;15:47; Yisette Melo;10000;11000;Carrera 5 # 16 -36;JW2H+QF;;
Peluquería;04/03/2019                  ;15:53;Yisette Melo;12000;13000;avenida 19 # 5-93 local 248;JW3H+RH ;;
Peluquería;04/03/2019                  ;15:59; Yisette Melo;19000;20000;carrera 7 # 18- 42 local 219;JW3H+V8 ;;
Peluquería;04/03/2019                  ;16:03; Yisette Melo;8000;8000;carrera 18 # 4- 76;JW3H+8X ;;
Peluquería;04/03/2019                  ;16:09;Yisette Melo;14000;15000;Avenida 19 # 3a -17  local 105;JW3J+6F ;;
Peluquería;04/03/2019                  ;16:10; Yisette Melo;12000;15000;Avenida 19 # 3a -17  local 110;JW3J+6F ;;
Peluquería;04/03/2019                  ;16:11; Yisette Melo;16000;18000;Avenida 19 # 3a -17  local 109;JW3J+6F;;
Peluquería;04/03/2019                  ;16:12;Yisette Melo;14000;15000;Avenida 19 # 3a -17  local 107;JW3J+6F ;;
Peluquería;05/03/2019                  ;9:40; Yisette Melo;13000;14000;Calle 16 # 4-67 local 19;JW2H+CQ ;;
Peluquería;05/03/2019                  ;9:57; Yisette Melo;7000;9000;Calle 19 # 5-68 ;JW3H+VG ;;
Peluquería;05/03/2019                  ;9:53; Yisette Melo;12000;14000;Carrera 4 # 19-16 local 109;JW3J+GF;;
Peluquería;05/03/2019                  ;9:54; Yisette Melo;22000;25000;Carrera 4 # 19-16 local 110;JW3J+GF ;;
Peluquería;05/03/2019                  ;9:58;Paola Cohecha;12000;14000;Carrera 3 #19-15 Local 105;JW3J+8J ;;
Peluquería;05/03/2019                  ;15:40;Yisette Melo;18000;20000;Calle 20 # 3-18;JW3J+HQ;;
Peluquería;05/03/2019                  ;15:52;Yisette Melo;12000;14000;Calle 21 # 5-51;JW4J+V4 ;;
Peluquería;05/03/2019                  ;16:01;Yisette Melo;10000;12000;Calle 21 # 6-49;JW4H+QP ;;
Peluquería;05/03/2019                  ;9:18;Yisette Melo;8000;10000;Calle 14 # 4a -71;JW5J+CW ;;
Peluquería;05/03/2019                  ;16:30;Yisette Melo;8000;10000;Calle 24 # 4a -23 ;67P7JW5J+8W;;
Peluquería;05/03/2019                  ;16:27;Paola Cohecha;7000;9000;Carrera 7 # 23- 49 ;64P7JW5H+RV;;
Peluquería;05/03/2019                  ;16:20;Paola Cohecha ;10000;12000;Carrera 7 # 22-31 Local 102;JW5H+CM;;
Peluquería;05/03/2019                  ;16:20;Yisette Melo;10000;12000;Carrera 7 # 22-31 Local 103;JW5H+CM;;
Peluquería;05/03/2019                  ;16:23;Paola Cohecha;10000;12000;Carrera 7 # 22-31 Local 129;JW5H+CM ;;
