Categoría;Fecha;Hora;Estudiante;Precio;Dirección;Plus Code;Razon no captura de datos;Categorías/Observaciones;;;;;;;;;;;;;;;;;
Restaurante;11/02/2019;11:33:00;Nicolas Alvarez;11000;Cra. 5 Bis# 12C-02, Bogotá;JW2H+22 Bogotá;;Loto Azul, Vegetariano;;;;;;;;;;;;;;;;;
Restaurante;11/02/2019;11:35:00;Juan Pablo Calderon;8000;Cra. 5 Bis# 12c-32, Bogotá;JW2H+43 Bogotá;;Sabores de casa /Corrientazo;;;;;;;;;;;;;;;;;
Restaurante;11/02/2019;11:37:00;Nicolas Alvarez;15000;Cra. 5 Bis#12C-47, Bogotá;JW2H+44 Bogotá;;Calle luna ;;;;;;;;;;;;;;;;;
Restaurante;11/02/2019;11:39:00;Juan Pablo Calderon;8000;Cra. 5 Bis#12C-40, Bogotá;JW2H+54 Bogotá;;El patron /Corrientazo;;;;;;;;;;;;;;;;;
Restaurante;11/02/2019;11:41:00;Nicolas Alvarez;11000;Cra. 5 Bis#12C-41, Bogotá;JW2H+54 Bogotá;;Paisajes/Del día;;;;;;;;;;;;;;;;;
Restaurante;11/02/2019;11:43:00;Juan Pablo Calderon;10000;Av Jimenez #5-52, Bogotá;JW2H+85 Bogotá;;Café cuidas/Del día;;;;;;;;;;;;;;;;;
Restaurante;11/02/2019;11:45:00;Nicolas Alvarez;15000;Av Jimenez #4-69, Bogotá;JW2H+4H Bogotá;;Am café del carbon/Del día;;;;;;;;;;;;;;;;;
Restaurante;11/02/2019;11:47:00;Juan Pablo Calderon;16000;Calle 12d #4-67, Bogotá;JW2H+4P Bogotá;;El ejecutivo/Del día;;;;;;;;;;;;;;;;;
Restaurante;11/02/2019;11:49:00;Nicolas Alvarez;8500;Calle 12d #4-67, Bogotá;JW2H+4P Bogotá;;Mana/Corrientazo;;;;;;;;;;;;;;;;;
Restaurante;11/02/2019;11:51:00;Juan Pablo Calderon;9900;Calle 12d #4-67, Bogotá;JW2H+3P Bogotá;;D´marco/Del día/Corrientazo;;;;;;;;;;;;;;;;;
Restaurante;11/02/2019;11:53:00;Nicolas Alvarez;12500;Calle 12c #4-99, Bogotá;HWXH+XQ Bogotá;;Menta y miel/Del día;;;;;;;;;;;;;;;;;
Restaurante;11/02/2019;11:55:00;Juan Pablo Calderon;12500;Calle 12c #4-99, Bogotá;HWXH+QC Bogotá;;La vida en rosa/Del día;;;;;;;;;;;;;;;;;
Restaurante;11/02/2019;11:57:00;Nicolas Alvarez;7000;Calle 12b #5-15, Bogotá;HWXG+GV Bogotá;;Donde Julio/Corrientazo;;;;;;;;;;;;;;;;;
Restaurante;11/02/2019;11:59:00;Juan Pablo Calderon;12500;Calle 12b #6-98, Bogotá;HWXG+QH Bogotá;;Bogota antigua/Del día;;;;;;;;;;;;;;;;;
Restaurante;11/02/2019;12:01:00;Nicolas Alvarez;9500;Calle 12B# 6-74, Bogotá;HWXG+W9 Bogotá;;San Martin/Corrientazo;;;;;;;;;;;;;;;;;
Restaurante;11/02/2019;12:03:00;Juan Pablo Calderon;10500;Calle 12B# 6-82, Bogotá;HWXG+X9 Bogotá;;Fuego verde/Corrientazo;;;;;;;;;;;;;;;;;
Restaurante;11/02/2019;12:05:00;Nicolas Alvarez;12000;Calle 12b #6-98, Bogotá;HWXG+X7 Bogotá;;La nueva cabañita/Del día;;;;;;;;;;;;;;;;;
Restaurante;11/02/2019;12:20:00;David Medina;8500;Cra. 3# 22-04, Bogotá;JW4M+76 Bogotá;;Delfines blanquita/Corrientazo ;;;;;;;;;;;;;;;;;
Restaurante;11/02/2019;12:23:00;David Medina;10000;Cra. 3# 22-11, Bogotá;JW4M+76 Bogotá;;El armario/Ejecutivo;;;;;;;;;;;;;;;;;
Restaurante;11/02/2019;12:26:00;David Medina;9500;Cra. 3# 22-39, Bogotá;JW4M+87 Bogotá;;Villa vieja/Ejecutivo;;;;;;;;;;;;;;;;;
Restaurante;11/02/2019;12:32:00;David Medina;;Cra. 3# 21-85, Bogotá;JW4M+55 Bogotá;No tiene el producto;Desayunadero Doña blanquita/ Solo desayunos;;;;;;;;;;;;;;;;;
Restaurante;11/02/2019;12:41:00;David Medina;10000;Cra. 3# 20-37, Bogotá;JW3J+QX Bogotá;;Crepes City/Ejecutivo;;;;;;;;;;;;;;;;;
Restaurante;11/02/2019;12:42:00;David Medina;12000;Cra. 3# 20-35, Bogotá;JW3J+PW Bogotá;;Monserrat, hotel & SPA/ Ejecutivo;;;;;;;;;;;;;;;;;
Restaurante;11/02/2019;12:43:00;David Medina;16500;Cra. 3 #20-17, Bogotá;JW3J+MV Bogotá;;Hotel Inter Bogotá/ Del día (sugerido del chef);;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;23:50:00;David Medina;9000;Calle 11 #3-73, Bogotá;HWWG+GX Bogotá;;Vasija de Barro/Corrientazo;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;23:58:00;Nicolas Alvarez;;Calle 11 #6-04, Bogotá;HWXG+46 Bogotá;No tiene el producto;Balcones de la candelaria/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;23:59:00;David Medina;;Calle 11 #6-14, Bogotá;HWXG+45 Bogotá;No tiene el producto;Mamá Lupe/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;12:00:00;Nicolas Alvarez;;Calle 11 # 6-20, Bogotá;HWXG+44 Bogotá;No tiene el producto;Antigua Santa fé/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;12:01:00;David Medina;;Calle 11 # 6-26, Bogotá;HWXG+54 Bogotá;No tiene el producto;La puerta de la catedral/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;12:02:00;Nicolas Alvarez;;Calle 11 # 6-30, Bogotá;HWXG+54 Bogotá;No tiene el producto;La puerta de la tradición/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;12:03:00;David Medina;;Calle 11 # 6-42, Bogotá;HWXG+53 Bogotá;No tiene el producto;La sociedad/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;12:05:00;Nicolas Alvarez;;Calle 11 # 6-50, Bogotá;HWXG+53 Bogotá;No tiene el producto;La puerta falsa/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;12:07:00;David Medina;8500;Cra. 7 # 11-72, Bogotá;HWXG+F8 Bogotá;;"Amarú/Corrientazo/Segundo piso, Centro Comercial ""Calle Real de la candelaria""";;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;12:10:00;Nicolas Alvarez;9500;Cra. 7 # 11-72, Bogotá;HWXG+C6 Bogotá;;"Artezanos y carnes/Segundo piso, Centro Comercial ""Calle Real de la candelaria""";;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;12:10:00;David Medina;12000;Cra. 7 # 11-72, Bogotá;HWXG+96 Bogotá;;"La Real Gallina Criolla/Ejecutivo/Segundo piso, Centro Comercial ""Calle Real de la candelaria""";;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;12:10:00;Nicolas Alvarez;9500;Cra. 7 # 11-72, Bogotá;HWXG+F7 Bogotá;;"El paseito/Corrientazo/Segundo piso, Centro Comercial ""Calle Real de la candelaria""";;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;12:15:00;David Medina;8500;Cra. 7 # 11-72, Bogotá;HWXG+F6 Bogotá;;"Müghat/Corrientazo/Segundo piso, Centro Comercial ""Calle Real de la candelaria""";;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;12:18:00;Nicolas Alvarez;14500;Calle 12 # 6-81, Bogotá;HWXG+H4 Bogotá;;Plaza Santafe/Ejecutivo/Ofrecen platillos del dia con distintos precios, se selecciona el de menor precio dentro de los distintos menús del día;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;12:25:00;David Medina;24500;Calle 12 # 6-14, Bogotá;HWXG+G8 Bogotá;;Restaurante Presidencial/Ejecutivo;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;12:26:00;Nicolas Alvarez;11000;Calle 12 # 6-35, Bogotá;HWXG+F8 Bogotá;;Restaurante Asados Gómes/Ejecutivo;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;12:26:00;David Medina;11000;Calle 12 # 6-10, Bogotá;HWXG+FC Bogotá;;El artista/Del Día/;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;12:26:00;Nicolas Alvarez;14000;Calle 12 # 5-63, Bogotá;HWXG+8H Bogotá;;Sabroson/Ofrecen platillos del dia con distintos precios, se selecciona el de menor precio dentro de los distintos menús del día;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;12:28:00;David Medina;13000;Calle 12 # 5-38, Bogotá;HWXG+8J Bogotá;;El Florero/Del día;;;;;;;;;;;;;;;;;
